,0,1,2,3,4,5
9,shell fabric ,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
10,broken twill,"solis/ sotw182-d
flannel / brush, c6+ dwr",a,100% polyester,silt / gunmetal,walnut / ink
12,insulation,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
13,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g
15,seam tape,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
16,no seam tape,none,none,none,none,none
18,lining,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink
19,solid quilted satin,solis/ pr258,main body,100% polyester,ink 19-4010 tcx   ,ink 19-4010 tcx   
20,solid satin,solis/ pr258,pocket bags,100% nylon,ink 19-4010 tcx   ,ink 19-4010 tcx   
21,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black
