,0,1,2,3,4,5
8,zippers,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
10,additional zipper pulls,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
13,branded trims,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
14,"l1-2018-trim-011
half deboss snap
artwork debossed 1mm. 1.7 cm x 1.7cm
pseudo anti silver sas54",luks,"center front, chest pocket, sleeve hem",12 sets,sas54 pseudo anti silver,sas54 pseudo anti silver
15,"l1-2018-trim-w-001
woven label: 5.3 cm x 6.2 cm",please source,front right hem,1,"l1-2018-trim-w-001
woven label: 5.3 cm x 6.2 cm","l1-2018-trim-w-001
woven label: 5.3 cm x 6.2 cm"
16,"l1-2018-trim-004
brown leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",please source,left chest pocket,1,brown leather,brown leather
17,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm",please source,back right,1,match to shell,match to shell
19,trims,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
23,notions,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
28,velcro,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
31,thread,spi,supplier/ ref number,amount,silt / gunmetal,walnut / ink
32,seams,10-12 spi,Feb-30,none,match to shell,match to shell
33,topstitch,8-10 spi,Feb-30,none,match to shell,match to shell
34,bartacks,none,100/2,none,match to shell,match to shell
35,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell
37,labels ,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
38,dwr,soluna/ main label,center back below neck seam,1,dwr,none
39,size label (sample size s),soluna/ size label,center back below main label,1,"xs, s, m, l",none
41,hang tags,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
42,womens jacket hang tag,soluna/ womens jacket hang tag,lining locker loop,1,womens jacket hang tag,none
45,care and content labels,supplier/ reference number,location,amount,silt / gunmetal,walnut / ink
46,address label,factory sourced,lining left side seam,1,address label,none
47,content label,factory sourced,lining left side seam,1,content label,none
48,washing label,factory sourced,lining left side seam,1,washing label,none
