,0,1,2,3,4,5,6,7
9,shell fabric ,supplier/ reference number,location ,content,ink,bone,black,walnut
10,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,ink,bone,black,walnut
11,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather
13,insulation,supplier/ reference number,location ,content,ink,bone,black,walnut
14,non insulated,none,none,none,none,none,none,none
17,seam tape,supplier/ reference number,location ,content,ink,bone,black,walnut
18,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped
20,lining,supplier/ reference number,location ,content,ink,bone,black,walnut
21,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black
22,solid 210t ,solis/ sonp006-1,upper body,100% nylon,black,black,black,black
23,solid 210t ,solis/ sonp006-1,pocket bags,100% nylon,black,black,black,black
24,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black
25,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black
